ingredient_seq,ingredient_code,ingredient_name
118,M020086,아세틸스피라마이신
119,M020088,암포테리신B
120,M020089,암피실린
121,M020092,암피실린나트륨
122,M020095,에리스로마이신
123,M020096,락토비온산에리스로마이신
124,M020099,에리스로마이신에스톨레이트
125,M020110,조사마이신
126,M020122,클로람페니콜
127,M020130,클록사실린나트륨
128,M020133,염산클린다마이신
129,M020134,인산클린다마이신
130,M020144,토브라마이신
131,M020145,황산토브라마이신
132,M020148,티로트리신
133,M020155,벤자틴페니실린지
134,M020156,페니실린지칼륨
135,M020164,황산폴리믹신비
136,M020165,푸시딘산나트륨
137,M020179,세파드록실일수화물
138,M020181,세포페라존나트륨
139,M020191,세포탁심나트륨
140,M020192,피페라실린나트륨
141,M020193,황산엔비오마이신(투버액티노마이신)
142,M020194,포스포마이신나트륨
143,M020195,염산세포티암
144,M020197,세파트리진프로필렌글리콜
145,M020201,프로피온산에리스로마이신
146,M020202,황산미크로노마이신
147,M020203,세파만돌나페이트
148,M020206,라타목세프나트륨
149,M020216,염산세프메녹심
150,M020218,황산네틸마이신
151,M020220,세포테탄
152,M020221,세파클러
153,M020225,세프트리악손나트륨
154,M020227,세프메타졸나트륨
155,M020228,염산반코마이신
156,M020229,푸시딘산
157,M020303,세프테졸나트륨
158,M020304,세프타지딤
159,M020305,세프록사딘
160,M020307,설박탐나트륨
161,M020310,포비돈케이30
162,M020407,주사용세포탁심나트륨
163,M021928,황산헥소프레날린
164,M023167,리시노프릴
165,M040003,간유
166,M040004,갈근
167,M040005,감자전분
168,M040006,감초
169,M040007,건강
170,M040009,건조효모
171,M040010,겐티아나
172,M040011,겨기름
173,M040012,개자
174,M040013,결명자
175,M040014,경납
176,M040015,경화유
177,M040016,계피
178,M040018,고목
179,M040020,고삼
180,M040021,고추엑스
181,M040024,과당
182,M040026,과망간산칼륨
183,M040028,과루근
184,M040029,괴화
185,M040030,구기자
186,M040032,구연산
187,M040033,무수구연산
188,M040034,구연산나트륨
189,M040037,꿀(봉밀)
190,M040038,규산마그네슘
191,M040040,합성규산알루미늄
192,M040041,글루콘산칼슘
193,M040043,글리세린
194,M040044,농글리세린
195,M040046,아미노초산
196,M040048,길경
197,M040050,염산나파졸린
198,M040053,낙화생유
199,M040054,날리딕스산
200,M040059,노스카핀
201,M040060,염산노스카핀
202,M040061,노회
203,M040063,니코틴산
204,M040064,니코틴산아미드
205,M040066,니트로푸라존
206,M040067,니트로푸란토인
207,M040068,마이크로에멀젼용시클로스포린
208,M040069,답손
209,M040070,당귀
210,M040071,대추
211,M040073,대황
212,M040078,데히드로콜린산
213,M040080,덱사메타손
214,M040082,덱스트란40
215,M040083,덱스트란70
216,M040084,브롬화수소산덱스트로메토르판
217,M040085,덱스트린
218,M040086,도인
219,M040089,두충
220,M040090,등피
221,M040091,디곡신
222,M040096,디멘히드리네이트
223,M040101,염산부테나핀
224,M040102,디아제팜
225,M040108,디펜히드라민
226,M040110,염산디펜히드라민
227,M040117,라놀린
228,M040118,정제라놀린
229,M040120,라우릴황산나트륨
230,M040121,레몬유
231,M040122,레보도파
232,M040126,초산레티놀
233,M040127,카제인수화물
234,M040128,베라프로스트나트륨
235,M040130,로진
236,M040131,리도카인
237,M040133,리보플라빈
238,M040135,마황
239,M040139,맥문동
240,M040140,소청룡탕건조엑스
241,M040141,메글루민
242,M040146,초산메드록시프로게스테론
243,M040148,메르캅토푸린
244,M040153,메칠도파
245,M040154,메칠렌블루
246,M040155,살리실산메칠
247,M040156,메칠셀룰로오스
248,M040160,P-옥시안식향산메칠
249,M040162,메칠프레드니솔론
250,M040163,호박산메칠프레드니솔론나트륨
251,M040164,메칠황산네오스티그민
252,M040165,염산메클리진
253,M040168,메토트렉세이트
254,M040170,메트로니다졸
255,M040172,메페네신
256,M040174,디엘멘톨
257,M040177,모근
258,M040178,모노스테아린산글리세린
259,M040180,모려
260,M040182,염산모르핀
261,M040184,황산모르핀
262,M040185,목단피
263,M040186,목통
264,M040187,목향
265,M040188,몰약
266,M040191,미삼
267,M040192,밀전분
268,M040194,백색바세린
269,M040198,박하
270,M040200,박하유
271,M040202,반하
272,M040205,방풍
273,M040207,발삼170-5886
274,M040208,백납
275,M040209,백당
276,M040210,정제백당
277,M040211,백반
278,M040213,인삼
279,M040214,백출
280,M040216,백지
281,M040218,베타메타손
282,M040220,벤질알코올
283,M040221,벤토나이트
284,M040225,복령
285,M040226,부설판
286,M040227,부자
287,M040228,향부자
288,M040230,불화나트륨
289,M040231,불화주석
290,M040233,붕사
291,M040236,붕산
292,M040249,비타민A유
293,M040251,빈랑자
294,M040252,사인(축사)
295,M040253,사향
296,M040254,삭카린나트륨(가용성)
297,M040255,산사자
298,M040256,산소
299,M040257,산수유
300,M040258,산약
301,M040259,산조인
302,M040260,산초
303,M040262,산화마그네슘
304,M040263,중질산화마그네슘
305,M040264,살리실산
306,M040265,단트롤렌나트륨
307,M040268,살리실산나트륨
308,M040269,살리실아미드
309,M040271,상백피
310,M040274,생리식염주사액
311,M040279,석고
312,M040281,승마추출액
313,M040283,설파메톡사졸
314,M040291,섬수
315,M040293,세신
316,M040296,세탄올(세틸알코올)
317,M040297,센나
318,M040299,소두구
319,M040300,디소르비톨
320,M040301,소엽
321,M040303,송지
322,M040305,수산화나트륨
323,M040306,수산화마그네슘
324,M040307,수산화알루미늄겔
325,M040308,건조수산화알루미늄겔
326,M040309,수산화칼륨
327,M040310,수산화칼슘
328,M040311,브롬화수소산스코폴라민
329,M040320,스테아린산
330,M040321,스테아린산마그네슘
331,M040322,스테아린산아연
332,M040323,스테아린산칼슘
333,M040324,스테아린산폴리옥실40
334,M040325,스테아릴알코올
335,M040329,승마
336,M040330,시아노코발라민(비타민B12)
337,M040331,분당
338,M040333,시클로포스파미드
339,M040334,시타라빈
340,M040335,염산시프로헵타딘
341,M040336,시호
342,M040339,아라비아고무
343,M040346,아미노필린
344,M040348,염산아미트리프틸린
345,M040349,아산화질소
346,M040350,아선약
347,M040351,아세타졸아미드
348,M040353,아세트아미노펜
349,M040354,아스코르빈산
350,M040355,아스피린
351,M040356,아스피린알루미늄
352,M040358,인산수소칼슘
353,M040359,아세클로페낙
354,M040366,아크리놀
355,M040370,황산아트로핀
356,M040378,아황산수소나트륨
357,M040379,안식향
358,M040380,안식향산
359,M040381,안식향산나트륨
360,M040383,안식향산벤질
361,M040385,알긴산나트륨
362,M040387,알로푸리놀
363,M040391,암모니아수
364,M040394,약용탄
365,M040395,에데트산나트륨
366,M040397,에르고칼시페롤
367,M040398,주석산에르고타민
368,M040401,에스트라디올
369,M040402,길초산에스트라디올
370,M040405,에치닐에스트라디올
371,M040407,에칠렌디아민
372,M040410,에탄올
373,M040412,염산에탐부톨
374,M040417,에텐자미드
375,M040419,P-옥시안식향산에칠
376,M040420,염산에페드린
377,M040421,에피네프린
378,M040423,염산
379,M040426,염화나트륨
380,M040428,염화베르베린
381,M040430,염화벤잘코늄
382,M040431,염화벤제토늄
383,M040434,염화아연
384,M040435,염화암모늄
385,M040437,염화제이철
386,M040438,염화칼륨
387,M040439,염화칼슘
388,M040441,염화프랄리독심
389,M040442,엽산
390,M040443,오가피
391,M040444,오렌지유
392,M040445,오미자
393,M040446,오배자
394,M040447,오수유
395,M040449,옥수수기름
396,M040450,옥수수전분
397,M040451,염산옥시코돈
398,M040453,옥시토신
399,M040455,올리브유
400,M040457,요소
401,M040461,요오드
402,M040467,요오드화나트륨
403,M040473,요오드화칼륨
404,M040474,용담
405,M040475,우루소데스옥시콜린산
406,M040476,우슬
407,M040478,우황
408,M040479,운데실렌산
409,M040481,울금
410,M040482,원지
411,M040483,우바우르시엽
412,M040484,유당
413,M040485,유우칼리유
414,M040486,육두구
415,M040487,의이인
416,M040488,이노시톨
417,M040491,이산화탄소
418,M040492,산화티탄
419,M040493,이소니코틴산히드라짓
420,M040498,이소프로판올
421,M040499,이소프로필안티피린
422,M040506,익모초
423,M040507,익지
424,M040508,인도메타신
425,M040510,인디고카르민
426,M040511,인산
427,M040512,인산리보플라빈나트륨
428,M040513,인산일수소나트륨
429,M040515,인산일수소칼슘
430,M040521,자근
431,M040523,작약
432,M040524,장미유
433,M040526,멸균정제수
434,M040527,정향
435,M040528,젖산
436,M040529,젖산칼슘
437,M040531,젤라틴
438,M040532,정제젤라틴
439,M040533,주석산
440,M040534,주사용수
441,M040535,지모
442,M040536,지실
443,M040537,지황
444,M040538,진피
445,M040540,질산은
446,M040541,질산칼륨
447,M040542,질소
448,M040543,차몰식자산비스무스
449,M040545,차전자
450,M040547,참기름
451,M040548,창출
452,M040549,채종유
453,M040550,천궁
454,M040551,초산
455,M040552,빙초산(글라시알 아세틱에시드)
456,M040553,초산나트륨
457,M040554,초산칼륨
458,M040555,치메로살
459,M040556,치몰
460,M040558,염산치아민
461,M040562,치오펜탈나트륨
462,M040563,치오황산나트륨
463,M040564,치자
464,M040565,친수연고
465,M040567,카르나우바납
466,M040569,카르바마제핀
467,M040571,카르복시메칠셀룰로오스나트륨
468,M040574,카올린
469,M040579,카페인(함수)
470,M040580,무수카페인
471,M040581,중주석산에피네프린
472,M040582,칼라민
473,M040593,콜레스테롤
474,M040594,콜레칼시페롤
475,M040597,탄성콜로디온
476,M040598,콜리스틴메탄설폰산나트륨
477,M040600,콩기름
478,M040606,크레오소트
479,M040609,클로람부실
480,M040610,클로로부탄올
481,M040612,클로르메자논
482,M040614,클로르족사존
483,M040615,클로르탈리돈
484,M040616,말레인산클로르페니라민
485,M040618,염산클로르프로마진
486,M040620,염산클로르헥시딘
487,M040621,구연산클로미펜
488,M040622,클리노피브레이트
489,M040624,자일리톨
490,M040625,탄닌산
491,M040626,탄산나트륨
492,M040627,건조탄산나트륨
493,M040628,탄산리튬
494,M040629,탄산마그네슘
495,M040630,중질탄산마그네슘
496,M040631,탄산수소나트륨
497,M040632,탄산수소칼륨
498,M040633,탄산칼륨
499,M040634,침강탄산칼슘
500,M040635,탈지면
501,M040637,탈크(활석가루)
502,M040638,택사
503,M040639,테스토스테론
504,M040643,테오필린
505,M040644,염산테트라카인
506,M040647,토코페롤
507,M040648,초산토코페롤
508,M040650,톨나프테이트
509,M040651,염산톨라졸린
510,M040654,트라가칸타
511,M040657,트로픽아미드
512,M040658,트롬빈
513,M040661,트리암시놀론
514,M040662,트리암시놀론아세토니드
515,M040663,트리암테렌
516,M040664,트리에탄올아민
517,M040670,엘트립토판
518,M040671,염산트리헥시페니딜
519,M040673,P-아미노살리실산칼슘
520,M040675,파라핀
521,M040676,유동파라핀
522,M040677,염산파파베린
523,M040678,판크레아틴
524,M040679,판토텐산칼슘
525,M040685,페노바르비탈
526,M040688,페놀
527,M040691,액상페놀
528,M040696,염산페닐에프린
529,M040698,엘페닐알라닌
530,M040700,펜토바르비탈나트륨
531,M040702,포도당
532,M040703,포르말린
533,M040707,폴리소르베이트80(=트윈80)
534,M040708,폴리에칠렌글리콜(마크로골)
535,M040711,폴리에칠렌글리콜4000
536,M040712,폴리에칠렌글리콜6000
537,M040715,푸로세미드
538,M040717,프레드니솔론
539,M040718,초산프레드니솔론
540,M040719,프로게스테론
541,M040724,염산프로카인
542,M040729,황산프로타민
543,M040732,염산프로프라놀롤
544,M040733,프로필렌글리콜
545,M040734,프로필치오우라실
546,M040735,P-옥시안식향산프로필
547,M040736,프리미돈
548,M040739,플루오레세인나트륨
549,M040740,플루오로우라실
550,M040741,플루오시놀론아세토니드
551,M040746,피라진아미드
552,M040748,피록실린
553,M040753,피마자유
554,M040757,피토나디온(비타민케이)
555,M040760,아디핀산피페라진
556,M040764,한천
557,M040765,할로탄
558,M040766,할로페리돌
559,M040769,행인
560,M040773,헤파린나트륨
561,M040774,현초
562,M040775,현호색
563,M040784,홍삼
564,M040785,홍화
565,M040787,황
566,M040789,황금
567,M040790,황기
568,M040791,황납
569,M040792,황련
570,M040793,황백
571,M040799,황산동
572,M040800,황산마그네슘
573,M040801,황산바륨
574,M040802,황산아연
575,M040803,황산알루미늄
576,M040805,건조황산제일철
577,M040806,황산칼륨
578,M040811,회향
579,M040812,회향유
580,M040813,후박
581,M040815,후추
582,M040818,히드로코르티손
583,M040819,초산히드로코르티손
584,M040823,초산히드록소코발라민
585,M040826,히드록시프로필셀룰로오스
586,M044300,포도당일수화물
587,M044572,플록사머407
588,M050005,가자
589,M050006,가자피
590,M050016,구감초
591,M050022,강활
592,M050023,계심
593,M050027,건칠
594,M050036,육계
595,M050037,계지
596,M050041,고본
597,M050042,교이
598,M050045,과붕산나트륨
599,M050048,곽향
600,M050057,구아야콜
601,M050058,구아이페네신
602,M050059,구아야콜설폰산칼륨
603,M050064,구연산칼슘
604,M050067,경질무수규산
605,M050069,규산알루미늄나트륨
606,M050075,결정황산글루코사민
607,M050081,글루콘산망간
608,M050083,글루쿠로노락톤
609,M050085,엘글루타민
610,M050086,엘글루타민산
611,M050087,글루타민산나트륨
612,M050096,글리시리진산
613,M050098,글리시리진산암모늄
614,M050102,글리벤클라미드
615,M050104,글리코피롤레이트
616,M050106,금박
617,M050107,금은화
618,M050112,나도롤
619,M050116,나프록센
620,M050123,생건지황주세
621,M050125,프탈트린(네오피나민)
622,M050127,노닐산바닐아미드
623,M050132,염산노르트립틸린
624,M050139,녹용
625,M050146,엘말산
626,M050164,니페디핀
627,M050166,니후라텔
628,M050173,다이제트100
629,M050176,단삼
630,M050178,몬탄글리콜왁스
631,M050185,당약
632,M050186,리팍시민
633,M050189,딸기향ZK-0073
634,M050191,대두황권
635,M050197,데속시메타손
636,M050206,데히드로초산나트륨
637,M050208,인산덱사메타손
638,M050213,말레인산덱스클로르페니라민
639,M050216,덱스트로스
640,M050223,염산도파민
641,M050226,호박산독실아민
642,M050227,독활
643,M050229,동클로로필린나트륨
644,M050230,드로프로피진
645,M050236,디드로게스테론
646,M050237,디클로르보스(디디브이피)
647,M050252,디부틸히드록시톨루엔
648,M050254,디부카인
649,M050263,디알미네이트
650,M050273,살리실산디에칠아민
651,M050288,디클로페낙나트륨
652,M050294,염산디페닐피랄린
653,M050298,살리실산디펜히드라민
654,M050302,디프로필린
655,M050303,건조살모사말항독소
656,M050305,디피리다몰
657,M050322,무수라놀린(탈수라놀린)
658,M050323,염산라베타롤
659,M050324,내복자(나복자)
660,M050325,라브라필
661,M050336,락토바실루스비피두스
662,M050337,락토바실루스아시도필루스
663,M050340,레보치록신나트륨
664,M050343,레시틴(대두인지질)
665,M050353,로얄제리
666,M050356,염산로페라미드
667,M050359,에스카르복시메칠시스테인
668,M050363,리놀산에칠
669,M050364,염산리도카인
670,M050367,테트라부티르산리보플라빈
671,M050369,리보플라빈-5-인산나트륨
672,M050370,리오치로닌나트륨
673,M050371,엘리신
674,M050373,염산리신(염산엘리신)
675,M050374,엘초산리신
676,M050376,오파스프레이화이트엠-1-7111비
677,M050378,염산리토드린
678,M050379,리파제
679,M050381,린단
680,M050382,아크릴레이트점착성필름
681,M050385,마그네슘
682,M050386,마그네슘트리실리케이트
683,M050389,마그세린
684,M050391,센텔라아시아티카정량추출물
685,M050395,마자인
686,M050396,부탄
687,M050397,마치현
688,M050398,초산마페나이드
689,M050400,만니톨
690,M050404,말토스
691,M050407,맥아
692,M050415,메벤다졸
693,M050416,마늘추출유
694,M050423,메티마졸
695,M050435,솔코세릴120농축물
696,M050436,메코발라민
697,M050438,센나엽엑스
698,M050439,초산메칠프레드니솔론
699,M050446,메퀴타진
700,M050448,메타규산알루민산마그네슘
701,M050458,썬올리고
702,M050463,메토카르바몰
703,M050465,메토클로프라미드
704,M050466,염산메토클로프라미드
705,M050468,염산메톡시페나민
706,M050476,메페남산
707,M050479,면실유
708,M050480,적색2호
709,M050488,모노에탄올아민
710,M050494,몰리브덴산나트륨
711,M050498,목과
712,M050499,목별자
713,M050504,몰신
714,M050512,물엿
715,M050515,인난포자극호르몬
716,M050516,인공산딸기향
717,M050517,질산미코나졸
718,M050521,바닐린
719,M050530,박하뇌
720,M050533,방기
721,M050535,백강잠
722,M050538,백급
723,M050539,백단향
724,M050540,백두구
725,M050541,백렴
726,M050543,백굴채
727,M050550,백자인
728,M050551,중주석산콜린
729,M050561,탄닌산베르베린
730,M050565,디프로피온산베크로메타손
731,M050568,길초산베타메타손
732,M050570,베타메타손인산나트륨
733,M050571,베타인
734,M050573,염산베타인
735,M050579,벤드로푸루메치아지드
736,M050585,아크릴계점착용제
737,M050588,벤조일퍼옥시드
738,M050590,벤조카인
739,M050593,벤즈트로핀메실레이트
740,M050596,니코틴산벤질(피리딘-베타-카르복실산벤질에스테르)
741,M050597,실리콘안티포움엠
742,M050603,인산벤푸로페린
743,M050604,파모산벤푸로페린
744,M050605,벨라돈나알칼로이드
745,M050607,염산파록세틴
746,M050609,보골지
747,M050610,보두
748,M050615,보르네올
749,M050617,백복령
750,M050619,토복령
751,M050620,에팔레스타트
752,M050621,복분자
753,M050623,봉출
754,M050631,포부자
755,M050632,부틸산히드록시아니솔
756,M050637,구연산부타미레이트
757,M050638,정제어유농축물
758,M050646,오렌지쥬스
759,M050648,유우칼립투스75-3843
760,M050657,말레인산브롬페니라민
761,M050660,염산브롬헥신
762,M050664,염산이미다프릴
763,M050677,브롬화티메피디움
764,M050683,약용비누
765,M050687,비사코딜
766,M050699,비오디아스타제
767,M050704,비오틴
768,M050713,오파드라이-OY-S-26403-적갈색
769,M050719,토사자
770,M050720,천연캡사이신
771,M050722,사포닌
772,M050724,서양칠엽수종자엑스
773,M050729,산사
774,M050730,산사육
775,M050736,이부딜라스트과립
776,M050737,산화아연(아연화)
777,M050738,산화알루미늄
778,M050744,황산살부타몰
779,M050747,삼릉
780,M050751,상지
781,M050752,생강
782,M050753,수크랄페이트
783,M050755,석검
784,M050756,소석고
785,M050757,석곡
786,M050765,설린닥
787,M050768,폴리크레줄렌액50W/W%
788,M050775,설파디아진은
789,M050778,멜리사엽건조엑스
790,M050790,염산밤부테롤
791,M050794,설피리드
792,M050800,엘세린
793,M050801,세크니다졸
794,M050802,세트리미드
795,M050805,센나열매
796,M050808,센노시드
797,M050819,벤즈브로마론
798,M050823,소르비탄지방산에스텔
799,M050830,폴리옥실35경화피마자유
800,M050833,염산슈도에페드린
801,M050839,스트렙토도르나제
802,M050842,스트렙토키나제
803,M050845,울왁스알코올연고
804,M050854,실리마린(카르두스마리아누스엑스)
805,M050855,시메치콘
806,M050857,시메티딘
807,M050860,시스테인
808,M050861,엘시스테인
809,M050874,시크로실린산
810,M050879,시클로페닐
811,M050882,베타시토스테롤
812,M050883,시토크롬씨
813,M050884,엘시트룰린
814,M050886,시티올론
815,M050887,시티콜린
816,M050891,신곡
817,M050894,신나리진
818,M050897,신이
819,M050905,아교
820,M050911,아데노신
821,M050920,아데노신트리포스페이트디나트륨
822,M050924,알릴이소프로필아세틸요소
823,M050926,염산아만타딘
824,M050928,염산아모디아퀸
825,M050946,메타아미노페놀
826,M050953,알파아밀라제
827,M050954,베타아밀라제
828,M050966,아세톤
829,M050972,아세틸시스테인
830,M050978,아스파르길루스배양물
831,M050979,아스파라긴산
832,M050983,엘아스파라긴산
833,M050985,아연
834,M051001,아프로티닌
835,M051002,아황산나트륨
836,M051011,엘알기닌
837,M051013,엘알라닌
838,M051015,알란토인
839,M051020,시말드레이트
840,M051022,히드로탈시트
841,M051032,알부민
842,M051043,앵피
843,M051046,고량강
844,M051049,에데트산디나트륨
845,M051060,에스신
846,M051066,에스트로겐
847,M051067,에스트리올
848,M051079,초산에칠
849,M051084,질산에코나졸
850,M051090,에탐시레이트
851,M051105,연교
852,M051106,연단
853,M051110,염화리소짐
854,M051111,염화마그네슘
855,M051116,염화세칠피리디니움
856,M051122,염화코발트
857,M051126,염화트로스피움
858,M051133,영양각
859,M051135,오니다졸
860,M051138,오령지
861,M051139,오로트산
862,M051144,엘아스파라긴산엘오르니친
863,M051148,구연산올페나드린
864,M051151,감마오리자놀
865,M051152,오매
866,M051153,오약
867,M051155,메타아크릴산코폴리머
868,M051157,옥세타자인(옥세타자인)
869,M051158,옥산드로론
870,M051161,구연산옥솔라민
871,M051166,옥스트리필린
872,M051171,옥시메톨론
873,M051173,우담즙엑스
874,M051196,용골
875,M051197,용뇌
876,M051200,용안육
877,M051206,우담남성
878,M051213,우리딘
879,M051216,웅담
880,M051223,유로키나제
881,M051224,정제유로키나제액
882,M051231,락토바실루스스포로게네스균
883,M051233,유비데카레논
884,M051234,유지
885,M051238,유향
886,M051248,육종용
887,M051256,이노시플렉스
888,M051259,이부프로펜
889,M051260,이산화규소
890,M051271,이소프로필미리스테이트
891,M051276,제이인산나트륨
892,M051280,인다파미드
893,M051283,인산알루미늄
894,M051285,염산세티리진
895,M051286,인산이수소나트륨
896,M051289,인산일수소칼륨
897,M051290,인산이수소칼륨
898,M051291,인삼
899,M051293,인삼향
900,M051297,인진호
901,M051298,자단향
902,M051301,자소엽
903,M051307,백작약
904,M051308,적작약
905,M051309,장뇌
906,M051313,저령
907,M051316,전갈
908,M051317,전분
909,M051318,전호
910,M051322,젖산나트륨
911,M051324,젖산마그네슘
912,M051326,제천오
913,M051327,제초오
914,M051331,조각자
915,M051333,조구등
916,M051339,주사
917,M051341,주석산수소디히드로코데인
918,M051343,주석산수소칼륨
919,M051344,주석산수소콜린
920,M051347,죽여
921,M051351,지각
922,M051352,지골피
923,M051359,지유
924,M051360,지파미드
925,M051361,염산지페프롤(레스필렌)
926,M051363,생지황
927,M051364,숙지황
928,M051366,진주
929,M051368,질산
930,M051377,석창포
931,M051378,천남성
932,M051379,천마
933,M051380,천문동
934,M051383,천오
935,M051385,천축황
936,M051394,청피
937,M051396,초과
938,M051398,초산마그네슘
939,M051399,초산아밀
940,M051402,초오
941,M051415,푸르설티아민
942,M051427,염산치목사민
943,M051429,치옥트산
944,M051432,침향
945,M051433,카르복시메칠셀룰로오스
946,M051437,카르바조크롬
947,M051445,말레인산카르비녹사민
948,M051452,칼륨
949,M051453,칼슘
950,M051460,염산케타민
951,M051464,케토프로펜
952,M051476,이산화규소겔
953,M051477,인산알루미늄겔
954,M051496,클로르퀴날돌
955,M051498,크로몰린나트륨
956,M051499,크로타미톤
957,M051505,푸마르산클레마스틴
958,M051514,클로로크레솔
959,M051518,인산클로로퀸
960,M051527,클로르페네신
961,M051529,클로르페니라민
962,M051534,클로르프로칙센
963,M051536,글루콘산클로르헥시딘액
964,M051537,클로바잠
965,M051539,프로피온산클로베타솔
966,M051543,클로트리마졸
967,M051546,염산클로페라스틴
968,M051547,펜디조산클로페라스틴
969,M051551,키모트립신
970,M051554,염산키실로메타졸린
971,M051560,타우린(아미노에칠설폰산)
972,M051563,무수탄산나트륨
973,M051564,탄산칼슘
974,M051567,태반성성선자극호르몬
975,M051568,황산테르부탈린
976,M051574,테마제팜
977,M051575,시피온산테스토스테론
978,M051588,염산테트라히드로졸린
979,M051591,테포즈63
980,M051598,니코틴산토코페롤
981,M051610,염산톨페리손
982,M051611,톨페남산
983,M051614,트라넥삼산
984,M051617,트레티노인
985,M051618,트로메타몰
986,M051621,염산트리메타지딘
987,M051622,염산트리메토퀴놀
988,M051623,트리메토프림
989,M051630,트리아세틴
990,M051640,트리클로카반
991,M051642,염산트리프롤리딘
992,M051644,염산트리플루오페라진
993,M051649,결정트립신
994,M051650,인삼엑스산
995,M051652,티니다졸
996,M051654,엘티로신
997,M051662,구연산티페피딘
998,M051663,히벤즈산티페피딘
999,M051667,파극
1000,M051670,파두상
1001,M051678,파인애플에센스
1002,M051683,파파인
1003,M051684,판크레리파제
1004,M051685,판테친
1005,M051686,판테놀
1006,M051688,판토텐산나트륨
1007,M051694,패장
1008,M051698,염산페나조피리딘
1009,M051699,브롬화수소산페노테롤
1010,M051704,말레인산페니라민
1011,M051706,페니토인
1012,M051707,페니토인나트륨
1013,M051723,염산디페닐피라린
1014,M051731,페트로라툼(바세린)
1015,M051732,펙틴
1016,M051736,펜톡시필린
1017,M051738,펜타조신
1018,M051745,함당펩신
1019,M051750,무수포도당
1020,M051752,엘프롤린
1021,M051756,포비돈
