dca_seq,dca_name,relation_seq,dca_avoid_desc,dca_avoid,avoid_seq
118,코비시스타트,9,"Dihydroergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",디히드로에르고타민,2636
119,코비시스타트,9,"Lovastatin 혈중농도 증가, 횡문근융해를 비롯한 근육병증",로바스타틴,2097
120,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,카르바마제핀,466
121,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,카르바마제핀,6074
122,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,리팜피신,99
123,코비시스타트,9,"Triazolam 혈중농도 증가, 진정 또는 호흡 억제의 연장 또는 증가",트리아졸람,53
124,코비시스타트,9,"Triazolam 혈중농도 증가, 진정 또는 호흡 억제의 연장 또는 증가",트리아졸람,2893
125,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,포스페니토인,8571
126,코비시스타트,9,"Simvastatin 혈중농도 증가, 횡문근융해를 비롯한 근육병증",심바스타틴,3321
127,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,리파부틴,48
128,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,리파부틴,3105
129,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,7556
130,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,9979
131,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,11445
132,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,11693
133,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,11959
134,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,367
135,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,469
136,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,470
137,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,3476
138,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,7842
139,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,7864
140,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,7865
141,코비시스타트,9,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,8803
142,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페노바르비탈,525
143,코비시스타트,9,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페노바르비탈,7366
144,코비시스타트,9,Alfuzosin 혈중농도 증가,알푸조신,2595
145,코비시스타트,9,Alfuzosin 혈중농도 증가,알푸조신,7715
146,데스벤라팍신 ,22,,셀레길린염산염,7705
147,데스벤라팍신 ,22,,모클로베미드,2464
148,아미오다론,25,"QT 연장, 심실성 부정맥",미졸라스틴,3348
149,아미오다론,25,Torsade de pointes 위험 증가,노르트립틸린,623
150,아미오다론,25,Torsade de pointes 위험 증가,드로네다론,10068
151,아미오다론,25,Torsade de pointes 위험 증가,돌라세트론,4839
152,아미오다론,25,Torsade de pointes 위험 증가,이미프라민,7857
153,아미오다론,25,Torsade de pointes 위험 증가,피모지드,1378
154,아미오다론,25,Torsade de pointes 위험 증가,아만타딘,823
155,아미오다론,25,Torsade de pointes 위험 증가,아만타딘,1732
156,아미오다론,25,Torsade de pointes 위험 증가,아만타딘,12156
157,아미오다론,25,Torsade de pointes 위험 증가,아만타딘,13248
158,아미오다론,25,Torsade de pointes 위험 증가,아미트리프틸린,344
159,아미오다론,25,Torsade de pointes 위험 증가,아미트리프틸린,3106
160,아미오다론,25,Torsade de pointes 위험 증가,아미트리프틸린,6033
161,아미오다론,25,Torsade de pointes 위험 증가,아미트리프틸린,7834
162,아미오다론,25,"QT 연장, 심실성 빈맥, 심실세동 및 torsades de pointes 등 심독성위험 증가",스파플록사신,2076
163,아미오다론,25,Torsade de pointes 위험 증가,토레미펜,3170
164,아미오다론,25,Torsade de pointes 위험 증가,토레미펜,9785
165,아미오다론,25,Torsade de pointes 위험 증가,토레미펜,11353
166,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,122
167,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,123
168,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,124
169,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,145
170,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,7843
171,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,7844
172,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,7845
173,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,7846
174,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,10562
175,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,11505
176,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,에리트로마이신,11884
177,아미오다론,25,"부정맥, 혈액장애, 발작 등 중대한 이상반응",리토나비르,12254
178,아미오다론,25,"근독성, 간질, 세로토닌성 증후군(고혈압, 고열, 간대성 근경련, 정신상태 변화 등)",모클로베미드,2464
179,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,펜타미딘,12671
180,아미오다론,25,심실부정맥(Torsade de pointes) 위험 증가,소타롤,23
181,판토프라졸,27,넬피나비르의 혈장농도가 감소되어 치료효과의 손실과 약물 내성이 나타날 수 있음.,넬피나비어,2960
182,판토프라졸,27,아타자나비르의 혈중농도 감소,아타자나비르,10055
183,판토프라졸,27,아타자나비르의 혈중농도 감소,아타자나비르,13084
184,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페니토인,1011
185,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페니토인,1012
186,코비시스타트,28,"Sildenafil 혈중농도 증가, 병용투여 할 경우에는 Sildenafil의 투여용량이 25mg을 초과하지 않도록 하며, 48시간 내 재투여 금지",실데나필,3167
187,코비시스타트,28,"Sildenafil 혈중농도 증가, 병용투여 할 경우에는 Sildenafil의 투여용량이 25mg을 초과하지 않도록 하며, 48시간 내 재투여 금지",실데나필,10776
188,코비시스타트,28,"Sildenafil 혈중농도 증가, 병용투여 할 경우에는 Sildenafil의 투여용량이 25mg을 초과하지 않도록 하며, 48시간 내 재투여 금지",실데나필,10844
189,코비시스타트,28,"Ergometrine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",메틸에르고메트린,1238
190,코비시스타트,28,"Ergometrine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",메틸에르고메트린,7786
191,코비시스타트,28,"Tadalafil 혈중농도 증가, 병용투여 할 경우에는 Tadalafil의 투여용량이 10mg을 초과하지 않도록 하며, 72시간 내 재투여 금지 ",타다라필,3997
192,코비시스타트,28,Amiodarone 혈중농도 증가,아미오다론,25
193,코비시스타트,28,Blonanserin 혈중농도 증가,블로난세린,9818
194,코비시스타트,28,"Dihydroergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",디히드로에르고타민,2636
195,코비시스타트,28,"Lovastatin 혈중농도 증가, 횡문근융해를 비롯한 근육병증",로바스타틴,2097
196,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,카르바마제핀,466
197,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,카르바마제핀,6074
198,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,리팜피신,99
199,코비시스타트,28,"Triazolam 혈중농도 증가, 진정 또는 호흡 억제의 연장 또는 증가",트리아졸람,53
200,코비시스타트,28,"Triazolam 혈중농도 증가, 진정 또는 호흡 억제의 연장 또는 증가",트리아졸람,2893
201,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,포스페니토인,8571
202,코비시스타트,28,"Simvastatin 혈중농도 증가, 횡문근융해를 비롯한 근육병증",심바스타틴,3321
203,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,리파부틴,48
204,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,리파부틴,3105
205,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,7556
206,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,9979
207,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,11445
208,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,11693
209,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,세인트존스워트,11959
210,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,367
211,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,469
212,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,470
213,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,3476
214,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,7842
215,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,7864
216,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,7865
217,코비시스타트,28,"Ergotamine 혈중농도 증가, 말초혈관연축 또는 국소빈혈",에르고타민,8803
218,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페노바르비탈,525
219,코비시스타트,28,Cobicistat 및 Elvitegravir의 혈중농도 감소로 치료효과 소실 및 내성 발현 가능,페노바르비탈,7366
220,코비시스타트,28,Alfuzosin 혈중농도 증가,알푸조신,2595
221,코비시스타트,28,Alfuzosin 혈중농도 증가,알푸조신,7715
222,벤세라지드,29,"혈압 변동, 빈맥·심실세동등의 부정맥 위험 증가",할로탄,557
223,에티닐에스트라디올,30,ALT 수치가 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,7
224,에티닐에스트라디올,30,ALT 수치가 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,13
225,에티닐에스트라디올,30,ALT 수치가 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,5911
226,에티닐에스트라디올,30,ALT 수치가 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,12254
227,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치(ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,7
228,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치(ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,13
229,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치(ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,5911
230,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치(ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,12254
231,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치 (ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,7
232,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치 (ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,13
233,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치 (ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,5911
234,에티닐에스트라디올,30,ALT 수치 상승이 정상최고치 (ULN) 대비 5배 이상 나오는 빈도가 유의적으로 높게 나타남,옴비타스비르,12254
235,에티닐에스트라디올,30,ALT 수치 상승이 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,7
236,에티닐에스트라디올,30,ALT 수치 상승이 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,13
237,에티닐에스트라디올,30,ALT 수치 상승이 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,5911
238,에티닐에스트라디올,30,ALT 수치 상승이 정상치 상한 기준보다 20배 이상 높게 나타나는 데 영향이 있음,옴비타스비르,12254
239,시프로테론,30,혈전색전증 위험을 높임,드로스피레논,30
240,시프로테론,30,혈전색전증 위험을 높임,드로스피레논,370
241,시프로테론,30,혈전색전증 위험을 높임,드로스피레논,6858
242,시프로테론,30,혈전색전증 위험을 높임,드로스피레논,7851
243,시프로테론,30,혈전색전증 위험을 높임,드로스피레논,12207
244,시프로테론,30,혈전색전증 위험을 높임,에토노게스트렐,30
245,시프로테론,30,혈전색전증 위험을 높임,에토노게스트렐,370
246,시프로테론,30,혈전색전증 위험을 높임,에토노게스트렐,3804
247,시프로테론,30,혈전색전증 위험을 높임,에토노게스트렐,7851
248,시프로테론,30,혈전색전증 위험을 높임,에토노게스트렐,12207
249,시프로테론,30,혈전색전증 위험을 높임,데소게스트렐,30
250,시프로테론,30,혈전색전증 위험을 높임,데소게스트렐,370
251,시프로테론,30,혈전색전증 위험을 높임,데소게스트렐,2093
252,시프로테론,30,혈전색전증 위험을 높임,데소게스트렐,7851
253,시프로테론,30,혈전색전증 위험을 높임,데소게스트렐,12207
254,시프로테론,30,혈전색전증 위험을 높임,레보노르게스트렐,4005
255,시프로테론,30,혈전색전증 위험을 높임,게스토덴,30
256,시프로테론,30,혈전색전증 위험을 높임,게스토덴,370
257,시프로테론,30,혈전색전증 위험을 높임,게스토덴,1914
258,시프로테론,30,혈전색전증 위험을 높임,게스토덴,7851
259,시프로테론,30,혈전색전증 위험을 높임,게스토덴,12207
260,시프로테론,30,혈전색전증 위험을 높임,메드록시프로게스테론,242
261,시프로테론,30,혈전색전증 위험을 높임,메드록시프로게스테론,5957
262,시프로테론,30,혈전색전증 위험을 높임,레보노르게스트렐,30
263,시프로테론,30,혈전색전증 위험을 높임,레보노르게스트렐,370
264,시프로테론,30,혈전색전증 위험을 높임,레보노르게스트렐,7851
265,시프로테론,30,혈전색전증 위험을 높임,레보노르게스트렐,12207
266,사이클로스포린,31,신독성 증가,타크로리무스,3134
267,사이클로스포린,31,신독성 증가,타크로리무스,8173
268,부프로피온염산염,38,판막심장병 위험,디에틸프로피온,7268
269,부프로피온염산염,38,판막심장병 위험,디에틸프로피온,8363
270,부프로피온염산염,38,안전성 및 유효성 미확립,로카세린,66
271,부프로피온염산염,38,안전성 및 유효성 미확립,로카세린,12676
272,부프로피온염산염,38,판막심장병 위험,펜디메트라진타르타르산염,2912
273,부프로피온염산염,38,판막심장병 위험,펜디메트라진타르타르산염,7186
274,부프로피온염산염,38,판막심장병 위험,펜디메트라진타르타르산염,8365
275,부프로피온염산염,38,판막심장병 위험,펜터민,4430
276,부프로피온염산염,38,판막심장병 위험,펜터민,7480
277,부프로피온염산염,38,판막심장병 위험,펜터민,8667
278,부프로피온염산염,38,폐동맥고혈압 위험 증가,마진돌,3665
279,아토르바스타틴,50,횡문근융해와 같은 중증의 근육이상 보고,푸시딘산,136
280,아토르바스타틴,50,횡문근융해와 같은 중증의 근육이상 보고,푸시딘산,156
281,아토르바스타틴,50,근육병증,케토코나졸,1486
282,아토르바스타틴,50,근육병증,이트라코나졸,2170
283,아토르바스타틴,50,근육병증,이트라코나졸,2171
284,아토르바스타틴,50,근육병증,이트라코나졸,3700
285,아토르바스타틴,50,근육병증,이트라코나졸,6056
286,아토르바스타틴,50,근육병증,이트라코나졸,6066
287,아토르바스타틴,50,혈중농도 상승 및 근육병증/횡문근융해증 위험성 증가,사이클로스포린,31
288,아토르바스타틴,50,혈중농도 상승 및 근육병증/횡문근융해증 위험성 증가,사이클로스포린,207
289,아토르바스타틴,50,혈중농도 상승 및 근육병증/횡문근융해증 위험성 증가,사이클로스포린,2470
290,아토르바스타틴,50,혈중농도 상승 및 근육병증/횡문근융해증 위험성 증가,사이클로스포린,2536
291,헥소프레날린,51,부정맥 또는 심정지 유도,에피네프린,377
